,distance fire to element [m],heat release [MJ],temperature fire [K]
54,85.56,1014768000000.0,465.381092508965
55,85.2,1033560000000.0001,467.9916771044124
56,84.84,1052352000000.0001,470.6048248437986
57,84.48,1071144000000.0001,473.2208995679422
58,84.12,1089936000000.0,475.8402570512701
59,83.75999999999999,1108728000000.0,478.46324562704456
60,83.4,1127520000000.0,481.09020677009937
61,83.03999999999999,1146312000000.0,483.72147564099413
62,82.68,1165104000000.0,486.3573815950908
63,82.32,1183896000000.0,488.9982486597031
64,81.96000000000001,1202688000000.0,491.644395982153
65,81.6,1221480000000.0,494.29613825129485
66,81.24,1240272000000.0,496.9537860948172
67,80.88,1259064000000.0,499.6176464544179
68,80.52,1277856000000.0,502.28802294075115
69,80.16,1296648000000.0002,504.9652161698724
70,79.8,1315440000000.0,507.649524082754
71,79.44,1334232000000.0,510.34124224930366
72,79.08,1353024000000.0,513.0406641581972
73,78.72,1371816000000.0,515.7480814937229
74,78.36,1390608000000.0,518.4637844007391
75,78.0,1409400000000.0,521.1880617387529
76,77.64,1428191999999.9998,523.9212013260512
77,77.28,1446984000000.0,526.6634901747412
78,76.92,1465775999999.9998,529.4152147174917
79,76.56,1484568000000.0002,532.1766610267083
80,76.2,1503360000000.0,534.9481150268234
81,75.84,1522152000000.0,537.7298627003314
82,75.48,1540944000000.0,540.522190288158
83,75.12,1559736000000.0,543.3253844849132
84,74.75999999999999,1578528000000.0,546.1397326295406
85,74.4,1597320000000.0,548.9655228918446
86,74.03999999999999,1616111999999.9998,551.8030444553481
87,73.68,1634904000000.0,554.6525876969065
88,73.32,1653695999999.9998,557.5144443634806
89,72.96000000000001,1672488000000.0002,560.3889077464473
90,72.6,1691280000000.0,563.2762728538123
91,72.24000000000001,1710072000000.0,566.1768365806674
92,71.88,1728864000000.0002,569.0908978782193
93,71.52,1747656000000.0,572.0187579217069
94,71.16,1766448000000.0002,574.9607202775067
95,70.8,1785240000000.0,577.9170910697178
96,70.44,1804032000000.0,580.8881791465064
97,70.08,1822824000000.0,583.8742962464835
98,69.72,1841616000000.0,586.8757571653764
99,69.36,1860408000000.0,589.8928799232567
100,69.0,1879200000000.0002,592.9259859325734
101,68.28,1879200000000.0002,595.0296878157976
102,67.56,1879200000000.0002,597.1706896877595
103,66.84,1879200000000.0002,599.3500610946046
104,66.12,1879200000000.0002,601.5689142099577
105,65.4,1879200000000.0002,603.8284060209876
106,64.67999999999999,1879200000000.0002,606.1297406521176
107,63.959999999999994,1879200000000.0002,608.4741718366879
108,63.239999999999995,1879200000000.0002,610.8630055477854
109,62.519999999999996,1879200000000.0002,613.2976028004314
110,61.8,1879200000000.0002,615.7793826384157
111,61.08,1879200000000.0002,618.3098253202563
112,60.36,1879200000000.0002,620.8904757200935
